no,MOLENAME,Plate location,cas,"Weight, mg",Bioactivity,Formula,MolWt,Status,Reference
812,Lupetidin,11-B3,504-03-0,"125µl,10mMol/L","2,6-Dimethylpiperidines are chemical compounds with the formula C5H8(CH3)2NH. Three stereoisomers exist: the achiral (R,S)-isomer and the chiral (R,R)/(S,S) enantiomeric pair. Dimethylpiperidines are derivatives of the heterocycle piperidine, wherein two hydrogen atoms are replaced by methyl groups. ",C7H15N,113.2,INN,1. SYRNEVA IuI. Farmakol Toksikol. 1961 May-Jun;24:304-9.
813,Cephalexin,11-B4,15686-71-2,"125µl,10mMol/L","A semisynthetic cephalosporin antibiotic with antimicrobial activity similar to that of CEPHALORIDINE or CEPHALOTHIN, but somewhat less potent. It is effective against both gram-positive and gram-negative organisms.
",C16H17N3O4S,347.39,"USP, INN, BAN, JAN","1. Williamson R, et al. Antimicrob Agents Chemother. 1980 Oct;18(4):629-37."
814,Diazinon,11-B5,333-41-5,"125µl,10mMol/L","A cholinesterase inhibitor that is used as an organothiophosphorus insecticide.
",C12H21N2O3PS,304.35,"INN, BAN","1. Katuli KK, et al. Chemosphere. 2014 Aug;108:396-404. "
815,Clevidipine butyrate,11-B6,167221-71-8,"125µl,10mMol/L","Clevidipine Butyrate is a dihydropyridine calcium channel blocker, uses as an agent for the reduction of blood pressure.",C21H23Cl2NO6,456.32,USP,"1. Ericsson H, et al. Eur J Pharm Sci. 1999 Apr;8(1):29-37."
816,Chlorhexidine,11-B7,55-56-1,"125µl,10mMol/L",A disinfectant and topical anti-infective agent used also as mouthwash to prevent oral plaque. ,C22H30Cl2N10,505.45,"USP, INN, BAN, JAN","1. Solov'eva NN, et al. Antibiotiki. 1979 Jun;24(6):436-40. "
817,Aquacrine,11-B8,53-16-7,"125µl,10mMol/L",Estrone is an estrogenic hormone.,C18H22O2,270.37,"USP, INN, BAN","1. Margeat E, et al. J Mol Biol. 2003 Feb 7;326(1):77-92."
818,Acebutolol HCl,11-B9,34381-68-5,"125µl,10mMol/L","A cardioselective beta-1 adrenergic antagonist with little effect on the bronchial receptors. The drug has stabilizing and quinidine-like effects on cardiac rhythm, as well as weak inherent sympathomimetic action.
",C18H29ClN2O4,372.89,"USAN, INN, BAN","1. van den Meiracker AH, et al. J Cardiovasc Pharmacol. 1988 Apr;11(4):413-23."
819,Amikacin,11-B10,37517-28-5,"125µl,10mMol/L",A broad-spectrum antibiotic derived from KANAMYCIN. It is reno- and oto-toxic like the other aminoglycoside antibiotics.,C22H43N5O13,585.6,"USP, JAN",1. Tolmasky ME. Front Biosci. 2000 Jan 1;5:D20-9.
820,Malathion,11-B11,121-75-5,"125µl,10mMol/L","A wide spectrum aliphatic organophosphate insecticide widely used for both domestic and commercial agricultural purposes.
",C10H19O6PS2,330.36,"USP, BAN","1. Ramos ZR, et al. Neurotox Res. 2006 Jun;9(4):285-90. "
821,Combinal E,11-C2,58-95-7,"125µl,10mMol/L","A natural tocopherol and one of the most potent antioxidant tocopherols. It exhibits antioxidant activity by virtue of the phenolic hydrogen on the 2H-1-benzopyran-6-ol nucleus. It has four methyl groups on the 6-chromanol nucleus. The natural d form of alpha-tocopherol is more active than its synthetic dl-alpha-tocopherol racemic mixture.
",C31H52O3,472.76,USP,"1. Beijersbergen van Henegouwen GM, et al. J Photochem Photobiol B. 1995 Jul;29(1):45-51."
822,Fluoroethyl,11-C3,333-36-8,"125µl,10mMol/L","Flurothyl (Indoklon) is a volatile liquid drug from the halogenated ether family, related to inhaled anaesthetic agents such as diethyl ether, but having the opposite effects, acting as a stimulant and convulsant.",C4H4F6O,182.06,"USP-XXI, INN, BAN","1. Rose L, Watson A. Anaesthesia. 1967 Jul;22(3):425-34."
823,Prednisone,11-C4,19420,"125µl,10mMol/L",Prednisone (Adasone) is a synthetic corticosteroid agent that is particularly effective as an immunosuppressant compound.,C21H26O5,358.43,"USP, INN, BAN","1. Lanza L, et al. Clin Exp Immunol, 1996, 103(3), 482-490."
824,Hexachlorophene,11-C5,70-30-4,"125µl,10mMol/L","A chlorinated bisphenol antiseptic with a bacteriostatic action against Gram-positive organisms, but much less effective against Gram-negative organisms. It is mainly used in soaps and creams and is an ingredient of various preparations used for skin disorders. ",C13H6Cl6O2,406.9,"USP, INN, BAN","1. Wang JL, Buhler DR. Biochem Pharmacol. 1978;27(24):2947-53. "
825,Verapamil HCl,11-C6,152-11-4,"125µl,10mMol/L",A calcium channel blocker that is a class IV anti-arrhythmia agent.,C27H39ClN2O4,491.06,"USP, INN, BAN, JAN","1. Dilmac N, et al. Mol Pharmacol. 2004 Nov;66(5):1236-47. "
826,Itraconazole,11-C7,84625-61-6,"125µl,10mMol/L",A triazole antifungal agent that inhibits cytochrome P-450-dependent enzymes required for ERGOSTEROL synthesis.,C35H38Cl2N8O4,705.63,"USAN, INN, BAN, JAN","1. Gachotte D, et al. Proc Natl Acad Sci U S A. 1997 Oct 14;94(21):11173-8."
827,Doxorubicin (Adriamycin),11-C8,25316-40-9,"125µl,10mMol/L","Antineoplastic antibiotic obtained from Streptomyces peucetius. It is a hydroxy derivative of DAUNORUBICIN.
",C27H29NO11.HCl,579.99,USP,"1. Sun W, et al. Cancer Res, 2009, 69(10), 4294-4300."
828,Hygromycin B,11-C9,31282-04-9,"125µl,10mMol/L","Hygromycin B, a selective antibiotic that is effective on most bacteria, fungi and higher eukaryotes, inhibits protein synthesis by interfering with translocation and causing mistranslation at the 70S ribosome.",C20H37N3O13,527.52,,"1. Brodersen DE, et al. Cell, 2000, 103(7), 1143-1154."
829,Cefoxitin sodium,11-C10,33564-30-6,"125µl,10mMol/L",A semisynthetic cephamycin antibiotic resistant to beta-lactamase.,C16H16N3NaO7S2,449.43,,"1. Salgado HR, Tozo GC. J AOAC Int. 2007 Mar-Apr;90(2):452-5."
830,Roflumilast,11-C11,162401-32-3,"125µl,10mMol/L","Roflumilast is a phosphodiesterase-4 (PDE-4) inhibitor. Due to its selective inhibition of the PDE4 isoenzyme in lung cells, roflumilast is indicated for the management of chronic obstrtuctive pulmonary disease (COPD) exacerbations. Treatment with Roflumilast is associated with an increase in psychiatric adverse reactions, including suicide and suicidal attempts.
",C17H14Cl2F2N2O3,403.21,,"1. Barone FC, et al. Pharmacology. 2007 Aug 28;81(1):11-17."
831,Tranylcypromine (2-PCPA) HCl,11-D2,1986-47-6,"125µl,10mMol/L",Tranylcypromine is a drug of the substituted phenethylamine and amphetamine classes which acts as a monoamine oxidase inhibitor (MAOI)—it is a nonselective and irreversible inhibitor of the enzyme monoamine oxidase (MAO).,C9H11N.HCl,169.66,USP,"1. Taavitsainen P, et al. Drug Metab Dispos, 2001, 29(3), 217-222."
832,Mafenide HCl,11-D3,138-37-4,"125µl,10mMol/L","A sulfonamide that inhibits the enzyme carbonic anhydrase and is used as topical anti-infective, especially in burn therapy.
",C7H11ClN2O2S,222.69,USP,"1. Demirdag R, et al. Bioorg Med Chem. 2013 Mar 15;21(6):1522-5. "
833,Luteolin,11-D4,491-70-3,"125µl,10mMol/L","Luteolin is a flavone, a type of flavonoid. Like all flavonoids, it has a yellow crystalline appearance.",C15H10O6,286.24,,"1. Yu MC, et al. Eur J Pharmacol, 2010, 627(1-3), 269-275."
834,Moxonidine,11-D5,75438-57-2,"125µl,10mMol/L","Moxonidine is a selective agonist at the imidazoline receptor subtype 1, used as antihypertensive agent.",C9H12ClN5O,241.7,USP,"1. Aceros H, et al. Eur J Pharmacol. 2014 Oct 5;740:168-82. "
835,Aztreonam,11-D6,78110-38-0,"125µl,10mMol/L","A monocyclic beta-lactam antibiotic originally isolated from Chromobacterium violaceum. It is resistant to beta-lactamases and is used in gram-negative infections, especially of the meninges, bladder, and kidneys. It may cause a superinfection with gram-positive organisms.",C13H17N5O8S2,435.43,"USP, INN, BAN, JAN","1. Poirel L, et al. Antimicrob Agents Chemother. 2005 Aug;49(8):3593-7. "
836,R-(+)-Lansoprazole,11-D7,138530-94-6,"125µl,10mMol/L",Dexlansoprazole is a Proton Pump Inhibitor. ,C16H14F3N3O2S,369.36,"USAN, INN","1. Metz DC, et al. Aliment Pharmacol Ther, 2009, 29(9), 928-937."
837,Triprolidine HCl,11-D8,6138-79-0,"125µl,10mMol/L","Histamine H1 antagonist used in allergic rhinitis; ASTHMA; and URTICARIA. It is a component of COUGH and COLD medicines. It may cause drowsiness.
",C19H23ClN2,314.85,"USP, INN, BAN, JAN","1. Hansen EB Jr, et al. J Pharm Sci. 1988 Mar;77(3):259-64."
838,Erythromycin,11-D9,114-07-8,"125µl,10mMol/L","A bacteriostatic antibiotic macrolide produced by Streptomyces erythreus. Erythromycin A is considered its major active component. In sensitive organisms, it inhibits protein synthesis by binding to 50S ribosomal subunits. This binding process inhibits peptidyl transferase activity and interferes with translocation of amino acids during translation and assembly of proteins.
",C37H67NO13,733.93,"USP, INN, BAN, JAN","1. Moazed D, Noller HF. Biochimie. 1987 Aug;69(8):879-84."
839,Monensin sodium salt,11-D10,22373-78-0,"125µl,10mMol/L","Sodium Monensin, isolated from Streptomyces cinnamonensis, is a well-known representative of naturally polyether ionophore antibiotics.",C36H61NaO11,692.85,"USP, INN, BAN","1. Pinkerton M, et al. J Mol Biol, 1970, 49(3), 533-546."
840,Docetaxel,11-D11,114977-28-5,"125µl,10mMol/L","Docetaxel is a clinically well established anti-mitotic chemotherapy medication used mainly for the treatment of breast, ovarian, and non-small cell lung cancer. Docetaxel binds to microtubules reversibly with high affinity and has a maximum stoichiometry of one mole docetaxel per mole tubulin in microtubules.
",C43H53NO14,807.88,USP,"1. Matesanz R, et al. Chem Biol. 2008 Jun;15(6):573-85. "
841,Hesperidin,11-E2,520-26-3,"125µl,10mMol/L",Hesperidin is a flavanone glycoside found abundantly in citrus fruits.,C28H34O15,610.56, ,"1. Inderjit, Dakshini KM. J Chem Ecol. 1991 Aug;17(8):1585-91. "
842,Netilmicin sulfate,11-E3,56391-57-2,"125µl,10mMol/L",Netilmicin Sulfate is a member of the aminoglycoside family of antibiotics.,C21H41N5O7.2.5H2SO4,720.78,"USP, INN, BAN, JAN","1. Chaudry IA, et al. Am J Hosp Pharm. 1981 Nov;38(11):1737-42."
843,Doripenem Hydrate,11-E4,364622-82-2,"125µl,10mMol/L",Doripenem (doripenem monohydrate) is an ultra-broad spectrum injectable antibiotic. It is a beta-lactam and belongs to the subgroup of carbapenems. It is particularly active against Pseudomonas aeruginosa.,C15H24N4O6S2.H2O,438.52,,"1. Jones RN, et al. J Antimicrob Chemother, 2004, 54(1), 144-154."
844,Fludarabine,11-E5,21679-14-1,"125µl,10mMol/L","Purine analog that inhibits DNA synthesis. Exhibits antiproliferative activity and triggers apoptosis through increasing Bax and decreasing Bid, XIAP and survivin expression.",C10H12FN5O4,285.23,"USP, INN, BAN","1. Fernández-Calotti P, et al. Int Immunopharmacol. 2006, 6(5), 715-72"
845,Choline chloride,11-E6,67-48-1,"125µl,10mMol/L","A basic constituent of lecithin that is found in many plants and animal organs. It is important as a precursor of acetylcholine, as a methyl donor in various metabolic processes, and in lipid metabolism. ",C5H14ClNO,139.63,"USP, INN","1. Lu XZ, et al. Br J Pharmacol. 2015 May 8"
846,Cloxacillin sodium monohydrate,11-E7,7081-44-9,"125µl,10mMol/L","Cloxacillin sodium (Cloxacap) is a sodium salt of cloxacillin that is a penicillinase-resistant, acid resistant, semi-synthetic penicillin. Cloxacillin sodium exerts a bactericidal action against susceptible microorganisms during the stage of active multiplication. Cloxacillin sodium acts through the inhibition of biosynthesis of cell wall mucopeptides.",C19H17ClN3NaO5S.H2O,475.88,"USP, INN, BAN, JAN","1. Roy DK, et al. Spectrochim Acta A Mol Biomol Spectrosc. 2005 Jul;61(9):2017-22."
847,Cyanocobalamin,11-E8,68-19-9,"125µl,10mMol/L","Vitamin B12 is a water soluble vitamin with a key role in the normal functioning of the brain and nervous system, and for the formation of blood.",C63H88CoN14O14P,1355.37,USP-XXI,"1. Ghazanfari S, et al. Drug Res (Stuttg). 2014 Mar;64(3):113-7. "
848,Salifungin,11-E9,3679-64-9,"125µl,10mMol/L",Detail unknown,C13H9BrClNO2,326.57,,"1. Kulagin VI, et al. Vestn Dermatol Venerol. 1972 Aug;46(8):75-6."
849,Clopidol,11-E10,2971-90-6,"125µl,10mMol/L",Clopidol is an antiprotozoal agent.,C7H7Cl2NO,192.04,"USAN, INN, BAN","1. Fang B, et al. Anal Sci, 2009, 25(10), 1203-1206."
850,Trimipramine maleate,11-E11,521-78-8,"125µl,10mMol/L","Tricyclic antidepressant similar to IMIPRAMINE, but with more antihistaminic and sedative properties.
",C24H30N2O4,410.51,"USAN, JAN","1. Diamond M, et al. Eur Neuropsychopharmacol. 2006 Oct;16(7):481-90. "
851,Mexiletine HCl,11-F2,1267397,"125µl,10mMol/L","Antiarrhythmic agent pharmacologically similar to LIDOCAINE. It may have some anticonvulsant properties.
",C11H18ClNO,215.72,"USP, INN, BAN, JAN","1. Valdivia CR, et al. Cardiovasc Res. 2002 Aug 1;55(2):279-89. "
852,Epinephrine bitartrate,11-F3,51-42-3,"125µl,10mMol/L","The active sympathomimetic hormone from the ADRENAL MEDULLA. It stimulates both the alpha- and beta- adrenergic systems, causes systemic VASOCONSTRICTION and gastrointestinal relaxation, stimulates the HEART, and dilates BRONCHI and cerebral vessels. It is used in ASTHMA and CARDIAC FAILURE and to delay absorption of local ANESTHETICS.
",C13H19NO9,333.3,"USP, JAN","1. Sanbe A, et al. Br J Pharmacol. 2007 Oct;152(3):332-40. "
853,Estradiol,11-F4,50-28-2,"125µl,10mMol/L",Estradiol is a synthetic ester used to treat menopausal symptoms and hormone deficiencies.,C18H24O2,272.38,"USP, INN, BAN","1. Takabe K, et al. J Biol Chem, 2010, 285(14), 10477-10486."
854,Oxybutynin HCl,11-F5,1508-65-2,"125µl,10mMol/L","Oxybutynin is an anticholinergic medication used to relieve urinary and bladder difficulties, including frequent urination and inability to control urination, by decreasing muscle spasms of the bladder. It competitively antagonizes the M1, M2, and M3 subtypes of the muscarinic acetylcholine receptor. ",C22H32ClNO3,393.96,"USP, JAN","1. Ito Y, et al. Eur J Pharmacol. 2009 Aug 1;615(1-3):201-6. "
855,Prazosin HCl,11-F6,19237-84-4,"125µl,10mMol/L","A selective adrenergic alpha-1 antagonist used in the treatment of HEART FAILURE; HYPERTENSION; PHEOCHROMOCYTOMA; RAYNAUD DISEASE; PROSTATIC HYPERTROPHY; and URINARY RETENTION.
",C19H22ClN5O4,419.86,"USP, INN, BAN, JAN","1. Chang HK, et al. J Pharm Pharmacol. 2003 Jun;55(6):833-7."
856,Risedronate Sodium,11-F7,115436-72-1,"125µl,10mMol/L","Risedronate Sodium, a nitrogen-containing bisphosphonate, inhibits osteoclast-mediated bone resorption and modulates bone metabolism, used in the treatment of osteoporosis.",C7H10NNaO7P2,305.09,USAN,"1. Bergstrom JD, et al. Arch Biochem Biophys. 2000 Jan 1;373(1):231-41."
857,Granisetron HCl,11-F8,107007-99-8,"125µl,10mMol/L","A serotonin receptor (5HT-3 selective) antagonist that has been used as an antiemetic for cancer chemotherapy patients.
",C18H25ClN4O,348.87,"USAN, INN, BAN","1. Turvill JL, et al. Br J Pharmacol. 2000 Jul;130(5):1031-6. "
858,Tretinoin,11-F9,302-79-4,"125µl,10mMol/L","An important regulator of GENE EXPRESSION during growth and development, and in NEOPLASMS. Tretinoin, also known as retinoic acid and derived from maternal VITAMIN A, is essential for normal GROWTH; and EMBRYONIC DEVELOPMENT. An excess of tretinoin can be teratogenic. It is used in the treatment of PSORIASIS; ACNE VULGARIS; and several other SKIN DISEASES. It has also been approved for use in promyelocytic leukemia (LEUKEMIA, PROMYELOCYTIC, ACUTE).
",C20H28O2,300.44,"USP, INN, BAN","1. Manzano VM, et al. J Pharmacol Exp Ther, 1999, 289(1), 123-132."
859,Ifosfamide,11-F10,3778-73-2,"125µl,10mMol/L","Positional isomer of CYCLOPHOSPHAMIDE which is active as an alkylating agent and an immunosuppressive agent.
",C7H15Cl2N2O2P,261.09,"USP, INN, BAN, JAN","1. Hartley JM, et al. Clin Cancer Res. 1999 Mar;5(3):507-12."
860,Isoprenaline HCl,11-F11,51-30-9,"125µl,10mMol/L","Isopropyl analog of EPINEPHRINE; beta-sympathomimetic that acts on the heart, bronchi, skeletal muscle, alimentary tract, etc. It is used mainly as bronchodilator and heart stimulant.
",C11H18ClNO3,247.72,"USP, INN, BAN, JAN","1. Degerman E, et al. Proc Natl Acad Sci U S A, 1990, 87(2), 533-537."
861,Azilsartan,11-G2,147403-03-0,"125µl,10mMol/L","Azilsartan medoxomil is an angiotensin II receptor antagonist indicated for the treatment of mild to moderate essential hypertension. Azilsartan medoxomil is a prodrug of Azilsartan marketed as ""Edarbi"" by Takeda. Azilsartan medoxomil has so far been shown to be superior to olmesartan and valsartan in lowering blood pressure.
",C25H20N4O5,456.46,,"1. Ojima M, et al. J Pharmacol Exp Ther, 2011, 336(3), 801-808."
862,Carboplatin,11-G3,41575-94-4,"125µl,10mMol/L","An organoplatinum compound that possesses antineoplastic activity.
",C6H12N2O4Pt,371.25,"USP, INN, BAN, JAN","1. Sharma S, et al. J Mol Biol. 2007 Aug 23;."
863,Retinol palmitate,11-G4,79-81-2,"125µl,10mMol/L","Vitamin A palmitate is a more stable, synthetic version of the essential nutrient vitamin A joined to palmitic acid.",C36H60O2,524.86,"USP, JAN","1. Athanassiades TJ, et al. J Natl Cancer Inst, 1981, 67(5), 1153-1156."
864,Flumequine,11-G5,42835-25-6,"125µl,10mMol/L","Flumequine is a synthetic chemotherapeutic antibiotic of the fluoroquinolone drug class used to treat bacterial infections.
",C14H12FNO3,261.25,"USAN, INN, BAN","1. Kashida Y, et al. Toxicol Sci, 2002, 69(2), 317-321."
865,Toltrazuril,11-G6,69004-03-1,"125µl,10mMol/L",Toltrazuril is an antiprotozoal agent that acts upon Coccidia parasites.,C18H14F3N3O4S,425.38,"USAN, INN, BAN","1. Mehlhorn H, et al. Parasitol Res, 1988, 75(1), 64-66."
